"地方公共団体コード","ID","名称","地区名","緯度","経度","ゴミカレンダー区分","もえるゴミ","もえないゴミ","資源ごみ"
"234427","GS001","森岡1","森岡","34.993933","136.967872","森岡地区","","○","○"
"234427","GS002","森岡2","森岡","34.993315","136.967541","森岡地区","○","○","○"
"234427","GS003","森岡5","森岡","34.994744","136.971769","森岡地区","○","○","○"
"234427","GS004","森岡7","森岡","34.997634","136.967603","森岡地区","○","○","○"
"234427","GS005","森岡8","森岡","34.994912","136.967521","森岡地区","○","○","○"
"234427","GS006","森岡10","森岡","34.996271","136.964838","森岡地区","○","○","○"
"234427","GS007","森岡11","森岡","34.99771","136.963745","森岡地区","○","○","○"
"234427","GS008","森岡12","森岡","34.999019","136.962913","森岡地区","○","",""
"234427","GS009","森岡13","森岡","34.999251","136.960571","森岡地区","○","○","○"
"234427","GS010","森岡14","森岡","34.998173","136.962564","森岡地区","○","",""
"234427","GS011","森岡15","森岡","34.99798","136.961787","森岡地区","○","",""
"234427","GS012","森岡16","森岡","34.997177","136.961864","森岡地区","○","○","○"
"234427","GS013","森岡17","森岡","34.994942","136.966953","森岡地区","○","",""
"234427","GS014","森岡18","森岡","34.994315","136.96564","森岡地区","○","",""
"234427","GS015","森岡19","森岡","34.995409","136.964953","森岡地区","○","○","○"
"234427","GS016","森岡20","森岡","34.993643","136.963221","森岡地区","○","○","○"
"234427","GS017","森岡21","森岡","34.994778","136.962709","森岡地区","○","○","○"
"234427","GS018","森岡22","森岡","34.995968","136.963265","森岡地区","○","",""
"234427","GS019","森岡24","森岡","34.99566","136.961116","森岡地区","○","○","○"
"234427","GS020","森岡25","森岡","34.994433","136.961176","森岡地区","○","",""
"234427","GS021","森岡26","森岡","34.993194","136.965682","森岡地区","○","○","○"
"234427","GS022","森岡27","森岡","34.991676","136.967828","森岡地区","○","○","○"
"234427","GS023","森岡28","森岡","34.991231","136.966164","森岡地区","○","○","○"
"234427","GS024","森岡29","森岡","34.992996","136.966654","森岡地区","○","○","○"
"234427","GS025","森岡30","森岡","34.993319","136.970236","森岡地区","○","○","○"
"234427","GS026","森岡31","森岡","34.990529","136.968657","森岡地区","○","",""
"234427","GS027","森岡34","森岡","34.99566","136.966875","森岡地区","○","○","○"
"234427","GS028","森岡35","森岡","34.997258","136.968301","森岡地区","○","○","○"
"234427","GS029","森岡47","森岡","34.996701","136.962202","森岡地区","○","○","○"
"234427","GS030","森岡54","森岡","34.994541","136.96422","森岡地区","○","○","○"
"234427","GS031","森岡台3","森岡","34.995117","136.953617","森岡台地区","○","○","○"
"234427","GS032","森岡台5","森岡","34.997042","136.957431","森岡台地区","○","○","○"
"234427","GS033","森岡台6","森岡","34.995457","136.957505","森岡台地区","○","○","○"
"234427","GS034","森岡台8","森岡","34.993991","136.955739","森岡台地区","○","○","○"
"234427","GS035","森岡台10","森岡","34.994806","136.958795","森岡台地区","○","○","○"
"234427","GS036","森岡台12","森岡","34.996904","136.959819","森岡台地区","○","○","○"
"234427","GS037","森岡台14","森岡","34.99713","136.958705","森岡台地区","○","○","○"
"234427","GS038","森岡台35","森岡","35.000153","136.959259","森岡台地区","○","○","○"
"234427","GS039","森岡台36","森岡","35.000026","136.957882","森岡台地区","○","",""
"234427","GS040","森岡台37","森岡","34.99775","136.95769","森岡台地区","○","○","○"
"234427","GS041","森岡台38","森岡","34.992021","136.951719","森岡台地区","○","",""
"234427","GS042","森岡台39","森岡","34.991585","136.951458","森岡台地区","○","○","○"
"234427","GS043","森岡台40","森岡","34.989806","136.953036","森岡台地区","○","○","○"
"234427","GS044","森岡台41","森岡","34.991322","136.955546","森岡台地区","○","",""
"234427","GS045","森岡台42","森岡","34.993051","136.95368","森岡台地区","○","○","○"
"234427","GS046","森岡台43","森岡","34.99939","136.949896","森岡台地区","○","○","○"
"234427","GS047","森岡台44","森岡","34.992705","136.956372","森岡台地区","○","",""
"234427","GS048","森岡台48","森岡","34.992482","136.955233","森岡台地区","○","○","○"
"234427","GS049","緒川1","緒川","34.988527","136.967543","緒川地区","○","○","○"
"234427","GS050","緒川2","緒川","34.986929","136.969691","緒川地区","○","○","○"
"234427","GS051","緒川4","緒川","34.985847","136.969111","緒川地区","○","○","○"
"234427","GS052","緒川5","緒川","34.984148","136.972862","緒川地区","○","○","○"
"234427","GS053","緒川6","緒川","34.984055","136.975815","緒川地区","○","○","○"
"234427","GS054","緒川7","緒川","34.98133","136.977183","緒川地区","○","○","○"
"234427","GS055","緒川8","緒川","34.982518","136.975236","緒川地区","○","○","○"
"234427","GS056","緒川9","緒川","34.982506","136.972098","緒川地区","○","○","○"
"234427","GS057","緒川10","緒川","34.983478","136.970596","緒川地区","","○","○"
"234427","GS058","緒川11","緒川","34.985139","136.965675","緒川地区","○","○","○"
"234427","GS059","緒川13","緒川","34.982689","136.969364","緒川地区","○","○","○"
"234427","GS060","緒川14","緒川","34.983088","136.96449","緒川地区","","○","○"
"234427","GS061","緒川15","緒川","34.981501","136.968483","緒川地区","○","○","○"
"234427","GS062","緒川16","緒川","34.981483","136.969728","緒川地区","","○","○"
"234427","GS063","緒川17","緒川","34.981132","136.971641","緒川地区","○","○","○"
"234427","GS064","緒川18","緒川","34.98002","136.969636","緒川地区","○","○","○"
"234427","GS065","緒川20","緒川","34.976308","136.96874","緒川地区","○","○","○"
"234427","GS066","緒川22","緒川","34.978299","136.966242","緒川地区","○","○","○"
"234427","GS067","緒川23","緒川","34.979977","136.96407","緒川地区","○","○","○"
"234427","GS068","緒川24","緒川","34.975929","136.958897","緒川地区","○","○","○"
