id,pos_x,pos_y,pos_z,activation_time,connection_interval,total_energy_consumption,lora_energy_consumption,ble_energy_consumption
76,34.9943,136.968,1,280.000000,600.000000,0.100897,0.100897,0.000000
75,35.000258,136.968301,1.000000,280.000000,600.000000,0.100897,0.100897,0.000000
74,34.997258,136.968301,1.000000,280.000000,600.000000,0.100897,0.100897,0.000000
73,34.992660,136.966875,1.000000,270.000000,600.000000,0.100847,0.100847,0.000000
72,34.998660,136.966875,1.000000,270.000000,600.000000,0.100847,0.100847,0.000000
71,34.995660,136.966875,1.000000,270.000000,600.000000,0.102541,0.102541,0.000000
70,34.987529,136.968657,1.000000,260.000000,600.000000,0.100798,0.100798,0.000000
69,34.990529,136.968657,1.000000,260.000000,600.000000,0.100798,0.100798,0.000000
68,34.990319,136.970236,1.000000,250.000000,600.000000,0.100748,0.100748,0.000000
67,34.996319,136.970236,1.000000,250.000000,600.000000,0.102442,0.102442,0.000000
66,34.993319,136.970236,1.000000,250.000000,600.000000,0.100748,0.100748,0.000000
65,34.989996,136.966654,1.000000,240.000000,600.000000,0.100699,0.100699,0.000000
64,34.995996,136.966654,1.000000,240.000000,600.000000,0.104085,0.104085,0.000000
63,34.992996,136.966654,1.000000,240.000000,600.000000,0.100699,0.100699,0.000000
62,34.988231,136.966164,1.000000,230.000000,600.000000,0.100649,0.100649,0.000000
61,34.994231,136.966164,1.000000,230.000000,600.000000,0.100649,0.100649,0.000000
60,34.991231,136.966164,1.000000,230.000000,600.000000,0.102343,0.102343,0.000000
59,34.988676,136.967828,1.000000,220.000000,600.000000,0.100600,0.100600,0.000000
58,34.994676,136.967828,1.000000,220.000000,600.000000,0.100600,0.100600,0.000000
57,34.991676,136.967828,1.000000,220.000000,600.000000,0.102293,0.102293,0.000000
56,34.990194,136.965682,1.000000,210.000000,600.000000,0.102244,0.102244,0.000000
55,34.996194,136.965682,1.000000,210.000000,600.000000,0.100550,0.100550,0.000000
54,34.993194,136.965682,1.000000,210.000000,600.000000,0.100550,0.100550,0.000000
53,34.991315,136.965640,1.000000,200.000000,600.000000,0.100501,0.100501,0.000000
52,34.994315,136.965640,1.000000,200.000000,600.000000,0.102194,0.102194,0.000000
51,34.991942,136.966953,1.000000,190.000000,600.000000,0.100451,0.100451,0.000000
50,34.994942,136.966953,1.000000,190.000000,600.000000,0.100451,0.100451,0.000000
49,34.991912,136.967521,1.000000,180.000000,600.000000,0.100402,0.100402,0.000000
48,34.997912,136.967521,1.000000,180.000000,600.000000,0.100402,0.100402,0.000000
47,34.994912,136.967521,1.000000,180.000000,600.000000,0.100402,0.100402,0.000000
46,34.994634,136.967603,1.000000,170.000000,600.000000,0.102046,0.102046,0.000000
