id,pos_x,pos_y,pos_z,activation_time,connection_interval,total_energy_consumption,lora_energy_consumption,ble_energy_consumption
32,34.9943,136.968,1,130.000000,600.000000,0.159959,0.078959,0.081000
31,35.000258,136.968301,1.000000,187.000000,600.000000,0.159929,0.081929,0.078000
30,34.997258,136.968301,1.000000,186.000000,600.000000,0.165924,0.081924,0.084000
29,34.992660,136.966875,1.000000,173.000000,600.000000,0.159860,0.081860,0.078000
28,34.998660,136.966875,1.000000,172.000000,600.000000,0.165855,0.081855,0.084000
27,34.995660,136.966875,1.000000,120.000000,600.000000,0.159890,0.078890,0.081000
26,34.990529,136.968657,1.000000,140.000000,600.000000,0.100204,0.100204,0.000000
25,34.990319,136.970236,1.000000,145.000000,600.000000,0.159721,0.081721,0.078000
24,34.996319,136.970236,1.000000,100.000000,600.000000,0.159751,0.078751,0.081000
23,34.993319,136.970236,1.000000,143.000000,600.000000,0.165711,0.081711,0.084000
22,34.989996,136.966654,1.000000,130.000000,600.000000,0.159647,0.081647,0.078000
21,34.995996,136.966654,1.000000,129.000000,600.000000,0.167335,0.083335,0.084000
20,34.992996,136.966654,1.000000,90.000000,600.000000,0.159677,0.078677,0.081000
19,34.988231,136.966164,1.000000,80.000000,600.000000,0.159597,0.078597,0.081000
18,34.994231,136.966164,1.000000,114.000000,600.000000,0.162567,0.081567,0.081000
17,34.991231,136.966164,1.000000,113.000000,600.000000,0.170256,0.083256,0.087000
16,34.988676,136.967828,1.000000,70.000000,600.000000,0.159523,0.078523,0.081000
5,34.994634,136.967603,1.000000,20.000000,600.000000,0.159172,0.078172,0.081000
4,35.000634,136.967603,1.000000,28.000000,600.000000,0.159142,0.081142,0.078000
3,34.997634,136.967603,1.000000,27.000000,600.000000,0.165137,0.081137,0.084000
2,34.991744,136.971769,1.000000,14.000000,600.000000,0.159073,0.081073,0.078000
0,34.994744,136.971769,1.000000,12.000000,600.000000,0.165063,0.081063,0.084000
1,34.997744,136.971769,1.000000,10.000000,600.000000,0.159103,0.078103,0.081000
6,34.994912,136.967521,1.000000,42.000000,600.000000,0.165211,0.081211,0.084000
7,34.997912,136.967521,1.000000,30.000000,600.000000,0.159251,0.078251,0.081000
8,34.991912,136.967521,1.000000,44.000000,600.000000,0.159221,0.081221,0.078000
9,34.994942,136.966953,1.000000,140.000000,600.000000,0.100204,0.100204,0.000000
10,34.994315,136.965640,1.000000,140.000000,600.000000,0.101897,0.101897,0.000000
11,34.993194,136.965682,1.000000,83.000000,600.000000,0.165414,0.081414,0.084000
12,34.996194,136.965682,1.000000,60.000000,600.000000,0.162454,0.078454,0.084000
13,34.990194,136.965682,1.000000,85.000000,600.000000,0.159424,0.081424,0.078000
14,34.991676,136.967828,1.000000,98.000000,600.000000,0.165488,0.081488,0.084000
15,34.994676,136.967828,1.000000,99.000000,600.000000,0.159493,0.081493,0.078000
